Pulse Width,-3.00V,-2.50V,-2.25V,-2.00V,-1.75V,-1.50V,-1.25V,-1.00V,1.25V,1.50V,1.75V,2.00V,2.25V,2.50V,2.75V,3.00V
0.0001,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9798287772719351,0.9552458395515567,0.8857966082279707,0.5491966967368116,0.1587743802626385,0.49317400336100703,0.9020667274509032,0.9713164577753852,0.9893708780942494,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.0002,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.98053703241,0.9615517164544285,0.90333092099488,0.6397266757262474,0.2016576639794811,0.612734015646486,0.9151641417601407,0.9743948343586741,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.0004,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653729933,0.9663392518727264,0.9157608425747139,0.7072088604854088,0.25856501106828533,0.7046670645361672,0.9246812513850114,0.9750065798438671,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.0006,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9685431485456641,0.9214791806446241,0.7369344641483287,0.2984922592766187,0.7438486088842774,0.9291297432618847,0.9750128459325662,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.0008,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9698244810590456,0.9250176057041292,0.7545212461913283,0.32926332769010186,0.7662557555177525,0.93190547646692,0.9750128551943905,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.001,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9706336104370424,0.927513557325301,0.7664875318346553,0.3541048624572195,0.7811084688897008,0.9338742106117268,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.004,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720867778925345,0.939462738067583,0.8181449535135588,0.5028746590919199,0.8411729248290012,0.943416318947663,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.008,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9438224245678939,0.8346231472271255,0.5587494652103799,0.8589308635350121,0.9469126845933264,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.01,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9450624236504594,0.8390887976003025,0.5734756988556337,0.8636311377602215,0.9478918655379933,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.05,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9521746871552413,0.8632204279129673,0.6447960194463983,0.8882435555979097,0.9521900310070379,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.1,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9542405643768036,0.8705961328518564,0.6631616711260854,0.8955135790425887,0.9523313251168102,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
0.5,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9554982411428264,0.8835538669644669,0.691507778848624,0.9080176970430341,0.9523316222201093,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
1.0,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9554982563715082,0.8878637687848396,0.6999092001876134,0.9121040076357257,0.9523316222201093,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
2.0,0.9827966497258288,0.9803530184699465,0.9723227407219132,0.9805474653836128,0.9720868868159543,0.9554982563715082,0.8916189851855666,0.7068459384824134,0.9156358482200502,0.9523316222201093,0.9750128551959966,0.9893709098580016,0.9906204362664692,0.9921614388073541,0.9912293588738498,0.99160197957269
