size,voltage,n,A,omega,log_tlorentz,r2_score
1000,3.25,1.5099999999999998,0.49969517849365247,-0.171704574868129,-8.574483273483336,0.989391316040341
1000,3.25,1.7599999999999998,0.5006530063061649,-0.19523443150829187,-8.588016592648712,0.9903541090677408
1000,3.25,2.0099999999999993,0.5013978384179664,-0.2114348217663212,-8.599352032052963,0.9906307662206154
1000,3.25,2.2400000000000033,0.5019666417801808,0.22273478424087573,-8.608215119599128,0.9905978865455124
1000,3.50,1.0099999999999998,0.5072457619667089,-0.07385831604633211,-8.766392990136296,0.96804842355359
1000,3.50,1.2599999999999998,0.5083311714358862,-0.13428750822069216,-8.78000457241237,0.973211679173489
1000,3.50,1.5099999999999998,0.5092503631077724,-0.1645161519150282,-8.791232138767626,0.9757235116756886
1000,3.50,1.759999999999998,0.5101423344489547,0.18615335241586947,-8.801277525242728,0.9766492449544304
1000,3.50,1.990000009694103,0.5108283480274374,-0.20072119513264394,-8.809449737962966,0.9768266034730426
1000,3.50,2.2400000000000104,0.51140584174795,-0.212323403834561,-8.81727349315664,0.9766740335783148
1000,3.75,1.0099999999999998,0.5049538826175974,0.10164868276582739,-8.912459023055545,0.9482368743859376
1000,3.75,1.2599999999999998,0.5054209967243561,0.13432310126932526,-8.912990778061886,0.9594737613377123
1000,3.75,1.5099999999999998,0.5056912214629267,-0.14885115061735843,-8.91441618800082,0.9663380576999412
1000,3.75,1.7599999999999998,0.5059287678679554,-0.15834626920242034,-8.917173260474486,0.970395678875779
1000,3.75,2.0099999999999993,0.5061430518107402,0.16540751880314267,-8.920637592319656,0.9727854337562094
1000,3.75,2.2599999999999993,0.5063285880196714,-0.17084100717985629,-8.924306858047194,0.9742179721663964
1000,4.00,1.0099999999999998,0.5163128259583196,0.20141729527911797,-9.178473905499688,0.9491773349157272
1000,4.00,1.2599999999999982,0.5164441985673892,0.20734896282295642,-9.15524849169558,0.9522329653442917
1000,4.00,1.5099999999999998,0.5165175445230453,0.20936605623196947,-9.141360939211651,0.9535015651251157
1000,4.00,1.7599999999999998,0.5165576732550611,-0.20980770669636215,-9.13245147822971,0.9540414486890124
1000,4.00,2.0099999999999976,0.5165782861210435,0.20955006886714103,-9.126425536066924,0.9542732568050017
1000,4.00,2.259999999999998,0.516587617000636,0.20899282573588782,-9.122209605483668,0.9543675612671844
1000,4.25,0.990000000000261,0.5045097270957036,-0.01535377861329568,-9.210246880335697,0.8971475794657229
1000,4.25,1.2400000000000002,0.5045463734111225,0.06750388471932096,-9.183001763583464,0.895505686225699
1000,4.25,1.4900000000003732,0.5045889293826188,0.08095562181194368,-9.162402767491166,0.8942939371234151
1000,4.25,1.74000000000243,0.504593541696495,-0.08531230613527337,-9.145358972321153,0.8936480815949395
1000,4.25,1.9900000000000018,0.5045784615708924,0.08633263211129688,-9.131399279539837,0.8933391081502582
1000,4.25,2.2400000000000007,0.5045565416615767,0.08603994587457695,-9.119977196468845,0.8932144644753357
1000,4.50,1.0099942964247077,0.5115534595452864,3.350347514377829e-05,-9.31697218603737,0.7742665838142353
1000,4.50,1.2599999998886562,0.5114492418695774,0.029722453546341458,-9.253900295071073,0.7757559881962732
1000,4.50,1.5099999942332405,0.5114777969282764,0.04968671864113978,-9.22436026913567,0.7759495575469036
1000,4.50,1.74000000000466,0.5114716186741043,0.052806031844299106,-9.198735164779059,0.7759415556824844
1000,4.50,1.9900000001243436,0.5114585527303686,0.05307736636716923,-9.175917357253965,0.7758663166800533
1000,4.50,2.2400000000154496,0.5114474577321388,0.05263417389967769,-9.157841511489028,0.7757995678518116
1000,4.75,1.0067242321020873,0.5708876190784153,4.0030887371401365,-16.330911318301762,0.5660710082773839
1000,4.75,1.250932012889029,0.5709047545729364,4.002052904849607,-16.365889084890323,0.5660711992714531
1000,4.75,1.5024432940410954,0.5708968897935046,3.9998376389973607,-16.389990542133166,0.5660713062650091
1000,4.75,1.7515342648495087,0.5709051586820575,3.9996844409727155,-16.40922171081584,0.5660713700589461
1000,4.75,2.0017723408370816,0.5709001496632758,3.9986281299192172,-16.423185006075112,0.5660714121206334
1000,4.75,2.2525343428991755,0.5708954788039816,3.997786495473739,-16.43429796076258,0.5660714409856484
1000,5.00,0.998883248017609,1.0021288341184535,50.38158736307107,-9.19032253826885,0.38899693227164134
1000,5.00,1.248886164084887,0.8011284663765442,33.57834310674763,-22.196400309500078,0.38894541508050706
1000,5.00,1.501092071925969,0.9970696354711517,50.12871638562051,-9.649417567812625,0.3889896992069052
1000,5.00,1.7508518105322772,1.0100152683493162,50.83850979421346,-8.715405942808738,0.3890694018325016
1000,5.00,2.0040342647601737,1.0113759511168372,50.86842956100504,-8.631389806961664,0.3891505651388114
1000,5.00,2.2490364414538107,1.0123079886513056,50.767986268129185,-8.57170245200205,0.38925459630009995
10000,1.00,1.0092920005653168,0.4742022773297481,6.831238179425007,5.243163389501093,0.021620741540445132
10000,1.00,1.247855274424735,0.4728719600629968,6.838410411105164,5.168517920362884,0.021621070135233067
10000,1.00,1.5008279419085662,0.47241465401790034,6.839520686893495,5.121344845314785,0.02162123731378718
10000,1.00,1.749879534244956,0.47269932662371894,6.835903023805053,5.09597092972367,0.021621323966764305
10000,1.00,1.9991210266444046,0.47180024810252763,6.842253625965571,5.065437075018598,0.021621382263346756
10000,1.00,2.2496866240149545,0.471779601795434,6.842491295040498,5.050320513214348,0.02162141802023454
10000,1.25,0.9992164446948232,0.004814422420292822,-0.9642979146585405,-17.98900441866248,3.2459528804151816e-05
10000,1.25,1.2507592607172784,0.004813322784198164,-0.015921590931966843,-17.771140099293426,2.220446049250313e-16
10000,1.25,1.500437723637144,0.004813322667654127,-0.024411454167322932,-17.509190453730287,-2.220446049250313e-16
10000,1.25,1.7504972589843026,0.004814652166815391,-0.8786583323430496,-17.1081646808586,5.280550231112624e-05
10000,1.25,2.0003375422904695,0.004813322152101925,0.3671814909146782,-16.60975017126507,-4.440892098500626e-15
10000,1.25,2.249784598139202,0.004813322911542613,0.5117457022160129,-16.908949304066294,0.0
10000,1.75,1.0099999999999998,1.7755681672646608,0.00016504026204643049,-4.002854902816927,0.9683656322582671
10000,1.75,1.2599999916057552,0.26694224180381054,-4.2566360759364966e-05,-4.985818802087971,0.9759741212966299
10000,1.75,1.5099999387701741,0.20386352462453802,0.033312249355573184,-5.143910315647397,0.9798844685643113
10000,1.75,1.7599999999956348,0.19158384863110503,0.063102932631149,-5.186621143646981,0.9810920508111447
10000,1.75,1.9900000000005054,0.1870926967826601,0.08178233370520291,-5.206598420207772,0.9809681360769714
10000,1.75,2.2400000000000007,0.18557688693887084,0.09944634748591144,-5.218113890472695,0.980280133097804
10000,2.00,1.0047916704837554,0.4311151778732002,0.11982289626815401,-5.554085882362613,0.9866738490231355
10000,2.00,1.2400000000000002,0.4417377332744066,0.20858838383722955,-5.560102637400312,0.9860946893081207
10000,2.00,1.4900000000000002,0.4479904270181638,0.26124840251495685,-5.570547135576827,0.9852110884250218
10000,2.00,1.7400000000000002,0.45188168591599037,0.2942633141759561,-5.580629770273762,0.9842645399709632
10000,2.00,1.9900000000000002,0.4548164912726139,0.3172499963775571,-5.588766606151088,0.9833897682935943
10000,2.00,2.240000000000183,0.4571106047091022,0.3339717105287033,-5.595365731144597,0.9826304713709897
10000,2.25,1.0099999999999998,0.4742266670034228,0.03875462269514643,-6.294805051647804,0.9972156481243754
10000,2.25,1.259999999999974,0.47793358688450616,0.13308655270481393,-6.313859867206139,0.9982265466256911
10000,2.25,1.5099999999405114,0.4844407675756536,-0.18867349533276995,-6.323026788992498,0.9983540273813034
10000,2.25,1.7400000000000098,0.48844758291726603,-0.22037467600730112,-6.330978402510706,0.9983227739102107
10000,2.25,1.9900000000000162,0.49146329220871,-0.2441056016843884,-6.338906916281471,0.9982085377027319
10000,2.25,2.240000000000001,0.49353373663805533,-0.26069947693360174,-6.346044539244369,0.9980694521813844
10000,2.50,1.0099999999999998,0.5040514795495555,-0.049133848657046016,-6.622424222897133,0.9948792485143799
10000,2.50,1.2599999999999998,0.5049291220731509,0.12335282917123609,-6.65565269236084,0.9965430610042937
10000,2.50,1.5099999999999998,0.5070730379764178,0.16322245140578803,-6.678781149641399,0.9970447153648004
10000,2.50,1.7430925482897146,0.5091846201003412,0.1885039051828448,-6.694464753266932,0.9971396960443345
10000,2.50,1.9900000000000002,0.5113137000574094,0.20881042714300968,-6.706850327876347,0.9970828560506685
